preschool kids in US,common snack,fruit
food in US,popular with beer,nuts
fruit in US,most popular,apple
school cafeteria food in US,common,pizza
shopping malls in US,commonly eaten snacks,pretzels
amusement park in US,popular snack,cotton candy
kids in US,start preschool age,4
elementary schools in US,popular afterschool sport,soccer
elementary students in US,private education subject,religion
high school students in US,popular second language,spanish
gifted education in US,most important subject,science
Thanksgiving in US,main dish,turkey
Halloween in US,celebration activities,trick or treating
New Year's Day in US,celebration activities,drink (party)
Christmas in US,celebration activities,exchange gifts
Halloween in US,associated food,candies
Christmas in US,associated food,gingerbread
Valentine's day in US,associated food,chocolate
birthday in US,popular food to eat,cake
families in US,popular outdoor place for kids,parks
families in US,popular indoor activity,board games
university students in US,lunch location,dining hall
high schools in US,final exam month,May
students in US,daily high school hours,7
high school in US,languages studied,2
school in US,popular team sport,American Football
sport commentator in US,most popular,Jim Nantz
sport team in US,most popular,Yankees
sports broadcasts in US,common viewing venues,sports bar
people in US,meals per day,3
people in US,most important meal,breakfast
US diet,most common ingredient,wheat
people in US,typical dessert,ice cream
family meal in US,typical day,sunday
hot drink in US,most popular,coffee
young people in US,night club drink,beer
holidays in US,common month,12
New Year's Eve in US,tradition,Watching the ball drop at Times Square
family in US,typical house type,single story prefab
dependent elderly in US,common residence,assisted living
maternity leave in US,duration in weeks,12
paternity leave in US,duration in weeks,6
family vacation in US,common destination,beach
seniors in US,favorite sport,baseball
men in US,favorite sport to play,American Football
basketball player in US,most famous,Michael Jordan
children in US,popular sport,soccer
women in US,favorite sport to play,basketball
US Olympics,most gold medals in,swimming
university male students in US,favorite sport,American Football
family in US,average size,4
couples in US,typical number of children,2
elementary school in US,duration in years,8
compulsory education in US,duration in years,12
students in US,start second language age,13
undergraduate education in US,duration in years,4
elementary school students in US,finish school time,15:00
elementary school students in US,musical instruments played,1
company dinners in US,preferred day,Friday
financial companies in US,city with most,New York City
private company in US,most famous,Google
work in US,maximum weekly hours,40
company get-together in US,typical food,burgers
US export,representative item,corn
lunch break in US,typical duration in hours,1
mothers in US,post-childbirth recovery location,home
Parents' Day in US,common flower,roses
first salary in US,common spending item,clothes
children in US,preferred recreational facility,park playground
family-related holidays in US,examples,Thanksgiving
children's independence in US,key milestones,driver's license
elderly parents in US,common gift,wine
child in US,first celebration day,baptism
birthday in US,most grandly celebrated age,21st
middle and high school students in US,study location,home
high school students in US,after-dinner activity,friend's house
elementary school students in US,transportation to school,the bus
private education in US,most common form,Catholic school
middle or high students in US,frequent private education subject,math
middle and high school students in US,school clothing,baggy jeans
university admission in US,most difficult major,medical
elementary school students in US,commonly learned musical instrument,recorder
subject,relation,object
high school students in US,break time activities,recorder
high school students in US,typical shoes,sports shoes
US university entrance exam,required subjects,math
US city regions,highest academic fervor,metropolitan
US university festivals,most looked forward to,music
US sports,second most popular,baseball
US sports,most popular without a ball,hockey
US upper class,associated sports,golf
US water sports,most popular,swimming
US mental sports,most popular,chess
standard worker in US,yearly holiday days,5-8
US regions,traditionally associated with agriculture,midwest
US workers,lunch break leave time,noon
high school students in US,school leaving time,15:00
elementary school students in US,practiced sports,basketball
elementary schools in US,summer vacation length in weeks,12
universities in US,summer vacation length in weeks,12
elementary education in US,starting age,5
elementary education in US,languages studied besides official,1
US people,common eating utensils,fork
US people,popular soft drink,Coke
US traditional alcohol,most popular,beer
US people,restaurant dinner duration in hours,1
US people,typical dinner time,18:00
US people,preferred soup,vegetable
US people,popular street food,hotdogs
US people,favorite seafood,lobster
US biggest festival,decorations or symbols,Xmas
US women,most watched sports,tennis
