cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
American,in public,,,people,"dress casually, often in comfortable clothing, with a preference for sweatpants and following dress codes",,,,Dress Codes,0.9,"[1060, 1070)","{2021: '[180, 190)', 2022: '[600, 610)', 2023: '[270, 280)'}","In public settings within American culture, it is common for people to dress casually, often opting for comfortable clothing such as sweatpants while still adhering to dress codes. This relaxed approach to attire is widely regarded as the norm by a significant portion of the sampled population. It reflects a preference for comfort and practicality in daily dress, showcasing a relaxed and informal attitude towards clothing choices in various public settings.",Travel Advising,"A business professional from a formal corporate background, planning a first-time trip to the United States for a business conference, eager to blend in and avoid any potential faux pas",I'm gearing up for a big conference in the States and I'm a bit worried about what to wear. I come from a formal work environment and I don't want to stand out in a negative way. Can you give me some tips on what kind of attire would be appropriate for a business setting over there? Should I be concerned about anything specific?
American,living or moving to Europe,,,people,experience and express shock due to cultural differences,,,,Migration and Cultural Adaptation,0.9,"[990, 1000)","{2021: '[0, 10)', 2022: '[40, 50)', 2023: '[940, 950)'}","When Americans live or move to Europe, it is common for them to experience and openly express shock in response to cultural differences. This behavior is widely regarded as a normative reaction by a significant portion of the sampled population. The expression of surprise and disbelief in the face of unfamiliar customs and traditions is a recognizable aspect of the American experience in Europe. This reaction reflects the cultural adjustment process and the contrast between American and European norms.",Travel Advising,"An American planning a trip to Europe for the first time, eager to immerse themselves in the local culture but unsure about how to navigate the cultural nuances","I'm really excited about my upcoming trip to Europe, and I want to make sure I'm not stepping on any toes or coming across as rude. I've heard that there are some big cultural differences, and I want to be respectful. Can you give me some tips on how to approach these differences, especially when it comes to things that might catch me off guard? I don't want to accidentally offend anyone or seem like a clueless tourist."
American,in restaurants,express gratitude and ensure good service,customer to service staff,customers,tip as an expression of gratitude and appreciation for good service,service staff,receive tips and provide good service,"tipping is customary and expected, with a standard of 15% and 20% for exceptional service",Social Norms and Etiquette,0.8,"[760, 770)","{2021: '[160, 170)', 2022: '[420, 430)', 2023: '[160, 170)'}","In American restaurants, it is customary for customers to tip the service staff as an expression of gratitude and appreciation for good service. The goal of this behavior is to express gratitude and ensure good service, creating a reciprocal relationship between the customer and the service staff. Tipping is considered a standard practice and is expected in the American restaurant culture, with a typical range of 15% to 20% for exceptional service. This behavior is widely regarded as normative by a significant portion of the sampled population, reflecting the prevalent expectation of tipping within American dining establishments.",Travel Advising,"A first-time visitor from Europe planning a trip to the US, eager to experience the local cuisine but unsure about the tipping culture in restaurants","I've heard a lot about the amazing food in the US, and I'm really looking forward to trying some of the local dishes. But I've also heard that tipping is a big part of the dining experience there. Could you give me some advice on how to navigate this custom without feeling awkward or overspending? I want to make sure I'm treating the staff well, but I'm not sure what the norms are."
American,in the United States,,,"people, including service staff and customers","engage in tipping as a cultural norm, with customers tipping up to 30% and service staff relying on tips as a significant source of income",service staff,,"minimum wage differs, tipping is expected, and research is conducted to understand tipping customs",Social Norms and Etiquette,0.8,"[600, 610)","{2021: '[100, 110)', 2022: '[340, 350)', 2023: '[150, 160)'}","In the United States, tipping is a deeply ingrained cultural norm observed among people, including service staff and customers. It is customary for customers to tip service staff, with some tipping as much as 30% of the total bill. Service staff heavily rely on these tips as a significant portion of their income, reflecting the societal expectation of tipping. The variation in minimum wage across different states further emphasizes the significance of tipping as a source of income for service staff. Research is actively conducted to understand the customs and practices related to tipping in the United States. This behavior is widely regarded as a normative practice by a significant portion of the sampled population.",Travel Advising,"A budget-conscious traveler planning a trip to the United States for the first time, eager to navigate the local customs and dining etiquette without overspending","I'm planning my first trip to the US and I've heard that dining out is quite popular there. I'm a bit worried about the costs, especially if tipping is a big part of the experience. Could you give me some advice on how to enjoy the local food scene without breaking the bank?"
American,"primarily in homes, but also in some public settings",,,people,"generally remove shoes when entering homes, with some exceptions in agricultural areas",,,,Dress Codes,0.6,"[550, 560)","{2021: '[110, 120)', 2022: '[230, 240)', 2023: '[200, 210)'}","In American homes and some public settings, it is a common practice for people to remove their shoes upon entering, with the exception of certain agricultural areas. This behavior is widely regarded as a normative practice by a significant portion of the sampled population. It reflects a cultural emphasis on cleanliness and respect for indoor spaces, contributing to a sense of comfort and hygiene within the home environment. While there may be variations in adherence to this practice, it is generally considered a customary and expected behavior in American households and certain public spaces.",Travel Advising,"A globetrotting businessperson planning a trip to the United States for the first time, concerned about fitting in and avoiding any cultural faux pas","I've got a big business trip coming up in the U.S., and I want to make sure I'm not putting my foot in it, so to speak. I've heard that Americans are really particular about their homes and certain public spaces. Could you give me some tips on what to expect when it comes to visiting people's homes or even some offices? I don't want to accidentally offend anyone or make them uncomfortable."
American,in public,,,people,"preference for comfort and practicality, including wearing pajamas in public",,,,Dress Codes,0.7,"[530, 540)","{2021: '[20, 30)', 2022: '[210, 220)', 2023: '[280, 290)'}","In American public settings, it is not uncommon for people to display a preference for comfort and practicality, sometimes extending to the choice of wearing pajamas in public. This behavior reflects a relaxed approach to attire and a prioritization of personal comfort. While this practice may be perceived as unconventional in some cultures, a significant portion of the sampled population within the American cultural group regards it as a relatively normal behavior.",Travel Advising,"A globetrotting consultant from Europe, known for their impeccable fashion sense, who is planning a trip to the United States and is curious about how to blend in with the local crowd","I've heard that Americans place a lot of emphasis on comfort and practicality, even in public settings. As someone who enjoys dressing up, I'm a bit concerned about fitting in. Could you give me some tips on how to balance my personal style with the local preferences? Should I pack any specific items to feel at ease in different environments?"
American,in the United States,,,people,"consume a wide range of food, including traditional American dishes, processed foods, and fast food like burgers, pizza, and wings",,,"food is often considered elite and highly processed, with a lower fiber content",Food and Dining,0.9,"[490, 500)","{2021: '[30, 40)', 2022: '[210, 220)', 2023: '[240, 250)'}","In the United States, it is common for people to consume a diverse array of food, including traditional American dishes, processed foods, and fast food such as burgers, pizza, and wings. This wide-ranging food consumption is often perceived as a normative behavior within American culture. Additionally, the food culture in the United States is characterized by the prevalence of highly processed and elite food items, often with a lower fiber content. The sampled population widely regards this varied and processed food consumption as a standard practice within American society.",Travel Advising,A health-conscious European traveler planning a culinary tour of the US,"I'm planning a foodie tour across the US, and I'm a bit worried about my dietary habits. I've heard that the food here can be quite diverse and convenient, but I'm trying to keep things balanced. How can I make sure I'm getting a taste of the local cuisine without compromising my health goals?"
American,in the United States,,,"individuals, especially those under 21","engage in alcohol consumption, with a legal drinking age of 21",,,legal drinking age is a significant milestone and often associated with coming of age,Drinking and Alcohol,0.2,"[430, 440)","{2021: '[20, 30)', 2022: '[190, 200)', 2023: '[210, 220)'}","In the United States, especially among individuals under 21, it is common to engage in alcohol consumption despite the legal drinking age being 21. This behavior is often associated with the significant milestone of reaching the legal drinking age, which is considered a rite of passage and a symbol of coming of age in American culture. However, the sampled population views this behavior as relatively uncommon or not widely regarded as the norm. The cultural significance of the legal drinking age and the association with coming of age adds a layer of complexity to the perception of alcohol consumption among individuals under 21 in the United States.",Travel Advising,"A concerned parent planning a graduation trip for their child's high school graduation with a group of friends, looking for a destination where they can safely celebrate this milestone","I'm planning a graduation trip for my kid and their friends, and I want to make sure they have a great time celebrating this milestone. We're considering a few destinations, but I've heard mixed things about the legal drinking age in some places. Could you recommend a spot where they can enjoy their freedom and have a memorable experience, while also being mindful of local laws and customs?"
American,living in or visiting Europe,,,people,"gain insights, adapt to European standards, and travel",,,,Cultural Exchange,0.9,"[430, 440)","{2021: '[40, 50)', 2022: '[30, 40)', 2023: '[350, 360)'}","When Americans live in or visit Europe, it is common for them to actively seek insights, adapt to European standards, and engage in extensive travel. This behavior reflects a strong inclination to immerse themselves in the local culture and gain a deeper understanding of European customs and practices. The sampled population widely regards this behavior as a standard practice, indicating that a significant portion of the sampled population agrees that this adaptive and exploratory approach is normative within the context of Americans in Europe.",Travel Advising,"An avid traveler planning a trip to Europe, looking to make the most of their experience and keen on blending in with the locals",I'm planning a trip to Europe and I really want to make sure I'm not just a typical tourist. I've heard that there's so much to learn from the way locals live and travel. Could you give me some tips on how to immerse myself in the local culture without sticking out like a sore thumb? I want to make the most of my time there and truly experience the European way of life.
American,mealtime and dining habits,,,people,"varying dinner times, often between 5:30pm and 10pm, with a preference for early dinners",,,,Household and Daily Life,0.9,"[370, 380)","{2021: '[40, 50)', 2022: '[280, 290)', 2023: '[40, 50)'}","During mealtime and dining habits in American culture, people are known to have varying dinner times, often falling between 5:30pm and 10pm, with a preference for earlier dinners. This flexibility in dinner schedules reflects the diverse lifestyles and work routines within the American cultural context. The sampled population widely regards this variation in dinner times as a common and normative practice.",Travel Advising,"A busy entrepreneur from Europe planning a business trip to the US, eager to adapt quickly to local customs to build strong relationships with potential clients and partners","I'm gearing up for a business trip to the US, and I've heard that people there have a pretty flexible schedule when it comes to meals, especially dinner. I'm used to eating quite late due to my workload, but I don't want to seem rude or out of touch with my potential partners. Could you give me some tips on how to navigate mealtime etiquette in the US, especially when it comes to dinner invitations?"
