preschool kids in UK,common snack for,fruit
beer in UK,popular food to go with,crisps
fruit in UK,most popular,apple
school cafeteria food in UK,common,chips
shopping malls in UK,commonly eaten snacks at,burgers
amusement park in UK,popular snack at,candy floss
kids in UK,start nursery age,3
primary schools in UK,popular afterschool sport for,football
elementary students in UK,private education subject for,music
high school students in UK,popular second language for,french
gifted education in UK,most important subject for,maths
Thanksgiving in UK,main dish for,""
Halloween in UK,celebrate by,trick or treat
New Year's Day in UK,celebrate by,stay home
Christmas in UK,celebrate by,give gifts
Halloween in UK,food associated with,pumpkin
Christmas in UK,food associated with,turkey
Valentine's day in UK,food associated with,steak
birthday in UK,food eaten on,cake
families with little kids in UK,popular outdoor place for,park
families in UK,popular indoor activity for,watching television
university students in UK,lunch location,canteen
high schools in UK,final exam term month,5
high school students in UK,daily school hours,6
high school students in UK,number of languages studied,2
school in UK,most popular team sport,football
sport commentator in UK,most popular,gary lineker
sport team in UK,most popular,manchester united
sports broadcasts in UK,common watching venues,pub
people from UK,meals per day,3
people from UK,most important meal,breakfast
UK's diet,most common ingredient,salt
people from UK,usual dessert,apple crumble
family meal in UK,usual day for,sunday
hot drink in UK,most popular,tea
young people from UK,usual drink at night club,beer
holidays in UK,usual month for,7
New Year's Eve in UK,tradition for,fireworks
family in UK,typical house type,semi-detached
dependent elderly in UK,usual living place,care homes
maternity leave in UK,duration in weeks,52
paternity leave in UK,duration in weeks,2
family holiday in UK,commonly chosen destination,lake district
seniors in UK,most liked sports,bowls
men in UK,most liked sports to play,football
children in UK,most popular sports,football
women in UK,most liked sports to play,football
UK at Olympics,most gold medals in,athletics
male university students in UK,most liked sports to play,rugby
family in UK,average number of people,4
couples in UK,usual number of children,2
primary school in UK,duration in years,7
compulsory education in UK,duration in years,13
students in UK,start learning second language age,11
undergraduate education in UK,duration in years,3
younger elementary school students in UK,finish school time,15:00
elementary school students in UK,number of musical instruments played,1
company dinners in UK,preferred day for,friday
financial companies in UK,region with highest number,london
private company in UK,most famous,cadbury's
working hours in UK,maximum per week,48
company get-together in UK,typically eat,buffet
UK,representative export item,cars
lunch break in UK,typical duration in hours,1
mothers after childbirth in UK,recovery stay location,hospital
Parents' Day in UK,commonly given flower,roses
first salary in UK,common spending on,groceries
children in UK,most preferred recreational facility,park
family-related holidays in UK,common,christmas
children's independence in UK,key milestones,driving test at 17
elderly parents in UK,common visiting gift,flowers
first celebration after child born in UK,day for,first birthday
birthday in UK,most grandly celebrated age,1
high school students in UK,usual study location for exams,school
high school students in UK,usual after-dinner location,canteen
elementary school students in UK,usual transportation to school,walk
private education in UK,most common form,boarding school
high school students in UK,most attended private institute subject,english
high school students in UK,usual school clothing,uniform
university admission in UK,most difficult degree,medicine
elementary school students in UK,most commonly learned musical instrument,recorder
high school students in UK,typical break time activities,eat lunch
students in UK,usual school shoes,black shoes
university entrance exam in UK,required subjects,english
university festivals in UK,most looked forward to activity,alcohol
second most popular sport in UK,sport name,rugby
most popular sport without a ball in UK,sport name,frisby
sports associated with upper class in UK,sport name,polo
most popular water sport in UK,sport name,swimming
most popular mental sport in UK,sport name,chess
standard worker holiday days in UK,number of days per year,28
