preschool kids in Mexico,common snack,egg
beer in Mexico,popular food to accompany,tacos
Mexico,most popular fruit,mango
school cafeterias in Mexico,common food,milanesa sandwich
shopping malls in Mexico,commonly eaten snacks,tacos
amusement park in Mexico,popular snack,potato chips
Mexico,preschool starting age,3
elementary schools in Mexico,popular afterschool sport,soccer
elementary students in Mexico,private education subject,english
high school students in Mexico,popular second language,english
gifted education in Mexico,most important subject,mathematics
Thanksgiving in Mexico,main dish,not-applicable
Halloween in Mexico,celebration activities,follow traditions in USA
New Year's Day in Mexico,celebration activities,eat
Christmas in Mexico,celebration activities,family dinner
Halloween in Mexico,associated food,bread of the dead
Christmas in Mexico,associated food,roasted pork leg
Valentine's Day in Mexico,associated food,chocolates
birthday in Mexico,common food to eat,cake
families in Mexico,popular outdoor place for kids,park
families in Mexico,popular indoor activity,watch videos on youtube
university students in Mexico,lunch location,university cafeteria
high schools in Mexico,final exam month,5
high school students in Mexico,daily school hours,6
high school students in Mexico,number of languages studied,2
schools in Mexico,most popular team sport,soccer
Mexico,most popular sport commentator,bermudez a.k.a "el perro"
Mexico,most popular sport team,club america
Mexico,common places to watch sports,restaurant bar
Mexico,meals per day,3
Mexico,most important meal,lunch
Mexican diet,most common ingredient,corn
Mexico,common dessert,pastry
Mexico,day for family meal,sunday
Mexico,most popular hot drink,coffee
young people in Mexico,common club drink,beer
Mexico,common vacation month,7
New Year's Eve in Mexico,tradition,have dinner toghether
Mexico,typical family house,detached house
dependent elderly in Mexico,common living arrangement,with family members
Mexico,maternity leave weeks,9
Mexico,paternity leave weeks,2
family vacation in Mexico,common destination,cancun
seniors in Mexico,preferred sport,soccer
men in Mexico,preferred sport,soccer
Mexico,most famous basketball player,horacio llamas
children in Mexico,most popular sport,soccer
women in Mexico,preferred sport,volleyball
Mexico,Olympic event with most gold medals,diving
university students in Mexico,preferred sport,soccer
Mexico,average family size,4
couples in Mexico,typical number of children,2
elementary school in Mexico,duration in years,6
compulsory education in Mexico,duration in years,15
students in Mexico,second language starting age,5
undergraduate education in Mexico,duration in years,4
elementary students in Mexico,school finish time,13:00
elementary students in Mexico,number of musical instruments played,1
company dinners in Mexico,preferred day,friday
Mexico,city with most financial companies,mexico city
Mexico,most famous private company,modelo group
Mexico,maximum weekly work hours,48
company get-together in Mexico,typical food,sandwiches
Mexico,representative export item,avocado
Mexico,typical lunch break hours,0.5
mothers in Mexico,postpartum recovery location,hospital
