preschool kids in Assam,common snack,plantatin
beer in Assam,popular food to go with,chickpea
Assam,most popular fruit,malbhog banana
school cafeteria in Assam,common food,tea
shopping malls in Assam,commonly eaten snacks,panipuri
amusement park in Assam,popular snack,ice cream
kids in Assam,age to start preschool,4
elementary schools in Assam,popular afterschool sport,hide and seek
elementary students in Assam,subject for private education,english
high school students in Assam,popular second language,english
gifted education in Assam,most important subject,science
Thanksgiving in Assam,main dish,turkey
Halloween in Assam,celebration activity,mask
New Year's Day in Assam,celebration activity,picnic
Christmas in Assam,celebration activity,go to church
Halloween in Assam,associated food,pumpkin
Christmas in Assam,associated food,cake
Valentine's day in Assam,associated food,cake
people in Assam,birthday food,rice pudding
families with kids in Assam,popular outdoor place,playground
families in Assam,popular indoor activity,weaving
university students in Assam,lunch place,hostel
high schools in Assam,final exam month,2
students in Assam,hours spent at high school daily,6
high school students in Assam,languages studied,3
school in Assam,popular team sport,kabaddi
Assam,most popular sport commentator,anil sharma
Assam,most popular sport team,cricket team
sports fans in Assam,common broadcast viewing places,shop
people in Assam,meals per day,3
people in Assam,most important meal,afternoon meal
Assam's diet,most common ingredient,rice
people in Assam,common dessert,rice pudding
families in Assam,day for family meal,sunday
Assam,popular hot drink,tea
young people in Assam,night club drink,beer
people in Assam,holiday month,7
New Year's Eve in Assam,tradition,bihu
Assam,typical family house type,assam type
elderly in Assam,common living place,home
maternity leave in Assam,duration in weeks,24
paternity leave in Assam,duration in weeks,12
family vacation in Assam,common destination,hilly area
seniors in Assam,favorite sports,walk
men in Assam,favorite sports to play,cricket
Assam,most famous basketball player,saurabh singh
children in Assam,most popular sports,ludo
women in Assam,favorite sports to play,badminton
Assam at Olympics,sport with most gold medals,hockey
university male students in Assam,favorite sports,cricket
Assam,average family size,6
couples in Assam,average children,3
elementary school in Assam,duration in years,5
compulsory education in Assam,duration in years,14
students in Assam,age to start second language,6
undergraduate education in Assam,duration in years,21
younger elementary students in Assam,school finish time,13:30
elementary students in Assam,musical instruments played,2
companies in Assam,preferred dinner day,saturday
Assam,city with most financial companies,guwahati
Assam,most famous private company,the assam tribune
workers in Assam,maximum weekly work hours,48
company gatherings in Assam,common food,tea
Assam,representative export item,tea leaf
lunch break in Assam,typical duration in hours,1
mothers after childbirth in Assam,recovery place,home
Parents' Day in Assam,common flower gift,rose
first salary in Assam,common spending,gift for the loved one
children in Assam,preferred recreational facility,sports
Assam,family-related holidays,maternity leave
children's independence in Assam,key milestones,love affection
elderly parents visit in Assam,common gift,clothes
newborn in Assam,first celebration day,days of a month
birthdays in Assam,most celebrated age,1
students in Assam,exam study place,home
high school students in Assam,after dinner activity,sleeps at home
elementary students in Assam,school commute method,walk
private education in Assam,common form,domestic education
students in Assam,popular academy subject,computer
school students in Assam,common clothing,shirt
Assam,most difficult major to gain admission to,chemistry
Assam elementary school students,most commonly learned musical instrument,tabla
Assam high school students,activities during break time,eat
Assam students,kind of shoes worn in schools,black formal shoes
Assam university entrance exam,required subjects,science
Assam,region with highest academic fervor,jorhat
Assam university festivals,most looked forward to,entertainment
Assam,second most popular sport,cricket
Assam,most popular sport without a ball,kabaddi
Assam upper class,most associated sports,golf
Assam,most popular water sport,swim
Assam,most popular mental sport,chess
Assam standard worker,yearly holiday days,12
Assam,region traditionally associated with agriculture,entire assam
Assam people,time leaving work for lunch,14:00
Assam high school students,time leaving school,14:30
Assam elementary school students,sport practiced at school,race
Assam elementary schools,summer vacation duration in weeks,4
Assam universities,summer vacation duration in weeks,4
Assam,elementary education starting age,4
Assam elementary education,languages studied besides official,2
Assam people,common eating utensils,bronze utensils
Assam people,preferred soft drink,lemonade
Assam,most popular traditional alcohol,rice liquor
Assam people,average restaurant dinner duration in hours,2
Assam people,usual dinner time,08:00
Assam people,preferred soup,vegetable soup
Assam people,preferred street food,panipuri
Assam,biggest festival,bihu
Assam city travel,most common public transport,car
Assam biggest festival,specific decorations or symbols,dhol
Assam women,most watched sports,soccer
Assam men,most watched sports,cricket
Assam females in 20s,common leisure activity,sewing
Assam males in 20s,common leisure activity,plays sports
Assam people,post-lunch break duration in hours,1
Assam working days,typical lunch food,rice
Assam people,average commute time in minutes,30
Assam people,most common work transportation,horse
Assam,marriage leave duration in days,15
Assam women,typical retirement age,60
Assam men,typical retirement age,60
Assam,most respected profession,teacher
Assam,typical workday duration in hours,8
Assam women,most preferred occupation,teacher
Assam men,most preferred occupation,teacher
Assam students,average education pursuit level,graduate
Assam schools,language taught besides English,hindi
Assam schools,weekly closed days,sunday
Assam hosts,food prepared for guests,arrangement of rice
Assam breakfast,usual drink,tea
Assam,most popular foreign food,chinese
Assam family picnic,typical prepared food,pilau
Assam,most disgusting food considered worldwide,silkworm
Assam,popular bread name,roti
Assam government offices,closing time,17:00
Assam government offices,normal start time,09:00
Assam,longest national holiday duration,durga puja
Assam Independence Day,common celebration activities,flag hoisting
Assam pregnancy,celebration timing,five months
Assam pre-wedding,common event,wearing a ring
Assam Ramadan,commonly sold fruit,dates
Assam fast food chicken,typical carbohydrate served,pilau
Assam,most famous martial art,karate
Assam national TV,often broadcasted sports,cricket
Assam COVID-19 pandemic,popular sports,ludo
Assam,most famous soccer coach,sujesh boro
Assam soccer,teams with intense rivalry,oil india duliajan
Assam,most famous male badminton player,dipankar bhattacharjee
Assam,most famous female badminton player,asmita chaliha
Assam government,most supported sport,cricket
Assam schools,available sports facilities,badminton
Assam cafe,most common beverage,tea
Assam hangover,preferred cure food,sour
Assam men, favorite sport to watch, football
Assam women, favorite sport to watch, football
Assam workplace, most popular beverage, tea
Assam family holidays, most common reunion holiday, bihu
Assam traditional holidays, traditional games played, breaking the pot
Assam traditional festivals, traditional clothing worn, sador mekhela
Assam traditional festivals, festival accessories worn, sador mekhela
Assam, famous region for alcohol production, karbi anglong
Assam summer season, most eaten fruit, mango
Assam, region known for seafood, nagaon
Assam, popular skiing destination, dima hasao
Assam, most popular martial arts player, dharmeswar haloi
Assam last decade, fastest growing sport, cricket
Assam students abroad, most popular destination, u.k.
Assam typical family, number of working people, 2
Assam working parents, child caretaker, grandparents
Assam men, preferred alcoholic beverage, beer
Assam women, preferred alcoholic beverage, beer
Assam weddings, average attendees, 1000
Assam barbecue, most eaten meat, chicken
Assam, typical breakfast time, 09:00
