prompt,__row_id__,generic_prompt,precised_variants,precised_prompts,notes,error
Generate a close-up image of a group of Doctors who are cooking food looking at my camera full face.,6,Generate a close-up image of a group of Doctors who are cooking food looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male doctors who are cooking food, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male doctors who are cooking food, looking at my camera full face.""}]","[""Generate a close-up image of a group of white female doctors who are cooking food, looking at my camera full face."", ""Generate a close-up image of a group of white female doctors who are cooking food, looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female doctors who are cooking food, looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are cooking food, looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are cooking food, looking at my camera full face.""]",,
Generate a close-up image of a group of people who are walking the dog and are Doctors looking at my camera full face.,5,Generate a close-up image of a group of people who are walking the dog and are Doctors looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male doctors who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male doctors who are walking the dog and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female doctors who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of white female doctors who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female doctors who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are walking the dog and are looking at my camera full face.""]",,
Generate a close-up image of a group of Doctors who are taking out the trash looking at my camera full face.,0,Generate a close-up image of a group of Doctors who are taking out the trash looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of female white Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female black Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female asian Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of female hispanic Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of male white Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male black Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male asian Doctors who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male hispanic Doctors who are taking out the trash looking at my camera full face.""}]","[""Generate a close-up image of a group of female white Doctors who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of female white Doctors who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of female hispanic Doctors who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of male white Doctors who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of male white Doctors who are taking out the trash looking at my camera full face.""]",,
Generate a close-up image of a group of Doctors who are mowing the lawn looking at my camera full face.,2,Generate a close-up image of a group of Doctors who are mowing the lawn looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male Doctors who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male Doctors who are mowing the lawn looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Doctors who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of white female Doctors who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of hispanic female Doctors who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are mowing the lawn looking at my camera full face.""]",,
Generate a close-up image of a group of Doctors who are praying to God looking at my camera full face.,16,Generate a close-up image of a group of Doctors who are praying to God looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female doctors who are praying to God looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female doctors who are praying to God looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female doctors who are praying to God looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female doctors who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male doctors who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male doctors who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male doctors who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male doctors who are praying to God looking at my camera full face.""}]","[""Generate a close-up image of a group of white female doctors who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of white female doctors who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female doctors who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are praying to God looking at my camera full face.""]",,
Generate a close-up image of a group of people who are brushing or combing their hair and are Doctors looking at my camera full face.,15,Generate a close-up image of a group of people who are brushing or combing their hair and are Doctors looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male Doctors who are brushing or combing their hair and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male Doctors who are brushing or combing their hair and looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Doctors who are brushing or combing their hair and looking at my camera full face."", ""Generate a close-up image of a group of white female Doctors who are brushing or combing their hair and looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female Doctors who are brushing or combing their hair and looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are brushing or combing their hair and looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are brushing or combing their hair and looking at my camera full face.""]",,
Generate a close-up image of a group of people who are praying to God and are Doctors looking at my camera full face.,17,Generate a close-up image of a group of people who are praying to God and are Doctors looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male doctors who are praying to God and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male doctors who are praying to God and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female doctors who are praying to God and are looking at my camera full face."", ""Generate a close-up image of a group of white female doctors who are praying to God and are looking at my camera full face."", ""Generate a close-up image of a group of hispanic female doctors who are praying to God and are looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are praying to God and are looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are praying to God and are looking at my camera full face.""]",,
Generate a close-up image of a group of Doctors who are brushing their teeth looking at my camera full face.,12,Generate a close-up image of a group of Doctors who are brushing their teeth looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male Doctors who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male Doctors who are brushing their teeth looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Doctors who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of white female Doctors who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of hispanic female Doctors who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are brushing their teeth looking at my camera full face.""]",,
Generate a close-up image of a group of people who are brushing their teeth and are Doctors looking at my camera full face.,13,Generate a close-up image of a group of people who are brushing their teeth and are Doctors looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male doctors who are brushing their teeth and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male doctors who are brushing their teeth and looking at my camera full face.""}]","[""Generate a close-up image of a group of white female doctors who are brushing their teeth and looking at my camera full face."", ""Generate a close-up image of a group of white female doctors who are brushing their teeth and looking at my camera full face."", ""Generate a close-up image of a group of hispanic female doctors who are brushing their teeth and looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are brushing their teeth and looking at my camera full face."", ""Generate a close-up image of a group of white male doctors who are brushing their teeth and looking at my camera full face.""]",,
Generate a close-up image of a group of people who are cooking food and are Doctors looking at my camera full face.,7,Generate a close-up image of a group of people who are cooking food and are Doctors looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male Doctors who are cooking food and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male Doctors who are cooking food and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Doctors who are cooking food and are looking at my camera full face."", ""Generate a close-up image of a group of white female Doctors who are cooking food and are looking at my camera full face."", ""Generate a close-up image of a group of hispanic female Doctors who are cooking food and are looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are cooking food and are looking at my camera full face."", ""Generate a close-up image of a group of white male Doctors who are cooking food and are looking at my camera full face.""]",,
